Unnamed: 0,week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_lessons,total_completed_passages_discrete_sets,score_trends_on_completed_dailies,num_attended_large_session,num_scheduled_large_session,num_attended_small_session,num_scheduled_small_session,class_participation,homework_participation,Baseline Score,Number of Practice Exams,Most Recent Practice Exam,Actual MCAT,Score Difference,Survey Tier,Small Group Tier,Class Participation Tier,Large Group Tier
0,1,2024-06-01,2024-06-06,1,,0.71,0.625,9.0,4.0,0.38,2.0,2.0,,,0.333333333,0.0,494.0,1.0,494.0,493.0,4.0,Tier 2,Tier 3,Tier 3,Tier 2
1,1,2024-06-01,2024-06-06,2,,0.79,0.875,9.0,3.0,0.7,2.0,2.0,,,0.333333333,0.0,503.0,1.0,503.0,,5.0,Tier 1,Tier 1,Tier 1,Tier 1
2,1,2024-06-01,2024-06-06,3,,0.75,0.75,7.0,6.0,0.35,2.0,2.0,,,0.333333333,0.0,494.0,4.0,491.0,485.0,-9.0,Tier 2,Tier 3,Tier 3,Tier 3
3,1,2024-06-01,2024-06-06,4,,0.96,0.875,7.0,4.0,0.68,2.0,2.0,,,0.333333333,0.0,502.0,4.0,499.0,,-3.0,Tier 2,Tier 1,Tier 3,Tier 2
4,1,2024-06-01,2024-06-06,5,,1.0,1.0,6.0,4.0,0.64,2.0,2.0,,,0.333333333,0.0,492.0,4.0,493.0,499.0,,Tier 3,Tier 3,Tier 3,Tier 1
5,1,2024-06-01,2024-06-06,6,,1.0,1.0,6.0,10.0,0.27,2.0,2.0,,,0.333333333,0.333333333,493.0,,,488.0,0.0,Tier 3,Tier 3,Tier 3,Tier 3
6,1,2024-06-01,2024-06-06,7,,1.0,,1.0,3.0,0.58,2.0,2.0,,,0.0,0.0,492.0,3.0,493.0,487.0,0.0,Tier 2,Tier 3,Tier 3,Tier 3
7,1,2024-06-01,2024-06-06,8,,0.79,0.875,1.0,3.0,0.67,2.0,2.0,,,0.333333333,0.0,,1.0,,,0.0,Tier 3,Tier 3,Tier 3,Tier 3
8,1,2024-06-01,2024-06-06,9,,0.63,0.875,10.0,5.0,0.33,2.0,2.0,,,0.333333333,0.0,498.0,5.0,506.0,508.0,15.0,Tier 2,Tier 1,Tier 2,Tier 1
9,1,2024-06-01,2024-06-06,10,0.9,0.74,0.875,5.0,14.0,0.62,2.0,2.0,,,0.333333333,0.0,506.0,2.0,506.0,514.0,8.0,Tier 2,Tier 3,Tier 3,Tier 1
